published_date;list_id;age_group;amazon_product_url;article_chapter_link;author;book_image;book_image_width;book_image_height;book_review_link;book_uri;contributor;contributor_note;created_date;description;first_chapter_link;price;primary_isbn10;primary_isbn13;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
2022-10-02;2;;https://www.amazon.com/dp/0062879928?tag=NYTBSREV-20;;Buzz Bissinger;https://storage.googleapis.com/du-prd/books/images/9780062879929.jpg;331;500;;nyt://book/7f17e58d-3c42-5c0c-91e7-8b6c396db807;by Buzz Bissinger;;2022-09-21 22:06:24;The Pulitzer Prize-winning journalist depicts the service of college football players who served in the Marines during World War II.;;0.00;0062879928;9780062879929;Harper;8;0;;THE MOSQUITO BOWL;2022-09-21 22:10:45;1
2022-10-02;2;;https://www.amazon.com/dp/1538723050?tag=NYTBSREV-20;;David Corn;https://storage.googleapis.com/du-prd/books/images/9781538723050.jpg;331;500;;nyt://book/1b79296d-74d6-5195-bd3b-dbc1d42be0f0;by David Corn;;2022-09-21 22:06:24;The Washington bureau chief for Mother Jones magazine gives his take on the Republican Party over the last seven decades.;;0.00;1538723050;9781538723050;Twelve;9;0;;AMERICAN PSYCHOSIS;2022-09-21 22:10:45;1
2022-10-02;2;;https://www.amazon.com/dp/0063221489?tag=NYTBSREV-20;;Jared Kushner;https://storage.googleapis.com/du-prd/books/images/9780063221482.jpg;331;500;;nyt://book/e5ec4777-5f2f-5622-9288-9b1d96e8fe1d;by Jared Kushner;;2022-09-21 22:06:24;An account of time spent in the Trump White House by the former president’s son-in-law and senior adviser.;;0.00;0063221489;9780063221482;Broadside;10;2;;BREAKING HISTORY;2022-09-21 22:10:46;4
2022-10-02;2;;https://www.amazon.com/dp/0593498062?tag=NYTBSREV-20;;Javier Zamora;https://storage.googleapis.com/du-prd/books/images/9780593498064.jpg;329;500;;nyt://book/6d6fe718-fda2-54c9-aa8f-2817008687b0;by Javier Zamora;;2022-09-21 22:06:25;The poet describes his journey over two months from El Salvador to the United States to reconnect with his parents who left years earlier.;;0.00;0593498062;9780593498064;Hogarth;11;3;;SOLITO;2022-09-21 22:10:46;2
2022-10-02;2;;https://www.amazon.com/dp/0593136330?tag=NYTBSREV-20;;Ben Macintyre;https://storage.googleapis.com/du-prd/books/images/9780593136331.jpg;330;500;;nyt://book/ea2b2001-6ee9-5d7f-b8ac-0d3eeb03bc49;by Ben Macintyre;;2022-09-21 22:06:25;The author of “The Spy and the Traitor” profiles Allied prisoners detained by the German Army in Colditz Castle during World War II.;;0.00;0593136330;9780593136331;Crown;12;0;;PRISONERS OF THE CASTLE;2022-09-21 22:10:46;1
2022-10-02;2;;https://www.amazon.com/dp/0759554226?tag=NYTBSREV-20;;James Patterson and Chris Mooney;https://storage.googleapis.com/du-prd/books/images/9780759554221.jpg;323;500;;nyt://book/636d9989-9de4-58a1-8620-d819e6f60e81;by James Patterson and Chris Mooney;;2022-09-21 22:06:25;A biography of the late Princess of Wales and her sons.;;0.00;0759554226;9780759554221;Little, Brown;13;9;;DIANA, WILLIAM, AND HARRY;2022-09-21 22:10:46;5
2022-10-02;2;;https://www.amazon.com/dp/0593138090?tag=NYTBSREV-20;;Tina Brown;https://storage.googleapis.com/du-prd/books/images/9780593138090.jpg;329;500;;nyt://book/00df1009-e6a5-5bd9-b180-351a709b35d4;by Tina Brown;;2022-09-21 22:06:25;This follow-up to “The Diana Chronicles” details how the royal family reinvented itself after the death of Princess Diana.;;0.00;0593138090;9780593138090;Crown;14;15;;THE PALACE PAPERS;2022-09-21 22:10:46;9
2022-10-02;2;;https://www.amazon.com/dp/0063037327?tag=NYTBSREV-20;;Viola Davis;https://storage.googleapis.com/du-prd/books/images/9780063037328.jpg;331;500;;nyt://book/ffe47bbb-a766-5337-9268-4480e3c9e4b9;by Viola Davis;;2022-09-21 22:06:25;The multiple award-winning actress describes the difficulties she encountered before claiming her sense of self and achieving professional success.;;0.00;0063037327;9780063037328;HarperOne;15;7;;FINDING ME;2022-09-21 22:10:46;21
2022-11-06;1;;https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20;;John Grisham;https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg;329;500;;nyt://book/b59f42c0-d9d0-5535-bf4b-21e5d04d3a46;by John Grisham;;2022-10-26 22:06:20;Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.;;0.00;0385548923;9780385548922;Doubleday;1;0;;THE BOYS FROM BILOXI;2022-10-26 22:10:35;1
2022-11-06;1;;https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20;;Barbara Kingsolver;https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg;329;500;;nyt://book/dd6e4f9d-d082-552d-b888-7276a25b5aca;by Barbara Kingsolver;;2022-10-26 22:06:20;A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.;;0.00;0063251922;9780063251922;Harper;2;0;;DEMON COPPERHEAD;2022-10-26 22:10:35;1
2022-11-06;1;;https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20;;Stephen King;https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg;329;500;;nyt://book/1c203c2d-147d-5639-8e0c-009ba6f15698;by Stephen King;;2022-10-26 22:06:20;A high school kid inherits a shed that is a portal to another world where good and evil are at war.;;0.00;1668002175;9781668002179;Scribner;3;2;;FAIRY TALE;2022-10-26 22:10:35;7
2022-11-06;1;;https://www.amazon.com/dp/1538719827?tag=NYTBSREV-20;;David Baldacci;https://storage.googleapis.com/du-prd/books/images/9781538719824.jpg;331;500;;nyt://book/b14c0c7a-c260-5808-b5db-b72e7a45772f;by David Baldacci;;2022-10-26 22:06:20;The seventh book in the Memory Man series. Decker works with a new partner to investigate a double homicide.;;0.00;1538719827;9781538719824;Grand Central;4;1;;LONG SHADOWS;2022-10-26 22:10:35;2
2022-11-06;1;;https://www.amazon.com/dp/059344955X?tag=NYTBSREV-20;;Nicholas Sparks;https://storage.googleapis.com/du-prd/books/images/9780593449554.jpg;331;500;;nyt://book/61e3a1f0-08db-5240-9ee0-72308b3b9b9d;by Nicholas Sparks;;2022-10-26 22:06:20;Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.;;0.00;059344955X;9780593449554;Random House;5;4;;DREAMLAND;2022-10-26 22:10:35;5
