published_date;list_id;age_group;amazon_product_url;article_chapter_link;author;book_image;book_image_width;book_image_height;book_review_link;book_uri;contributor;contributor_note;created_date;description;first_chapter_link;price;primary_isbn10;primary_isbn13;publisher;rank;rank_last_week;sunday_review_link;title;updated_date;weeks_on_list
2023-02-12;1;;https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20;;Gabrielle Zevin;https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg;329;500;;nyt://book/bc07e3e3-e917-50bb-9439-70118335f40c;by Gabrielle Zevin;;2023-02-01 23:11:19;Two friends find their partnership challenged in the world of video game design.;;0.00;0593321200;9780593321201;Knopf;2;4;;TOMORROW, AND TOMORROW, AND TOMORROW;2023-02-01 23:15:41;18
2023-02-12;1;;https://www.amazon.com/dp/0593186710?tag=NYTBSREV-20;;Ana Reyes;https://storage.googleapis.com/du-prd/books/images/9780593186718.jpg;331;500;;nyt://book/167b79e1-5981-5960-8e1f-e59f7bc6e9d2;by Ana Reyes;;2023-02-01 23:11:20;Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.;;0.00;0593186710;9780593186718;Dutton;3;6;;THE HOUSE IN THE PINES;2023-02-01 23:15:41;4
2023-02-12;1;;https://www.amazon.com/dp/0316404292?tag=NYTBSREV-20;;James Patterson and Mike Lupica;https://storage.googleapis.com/du-prd/books/images/9780316404297.jpg;323;500;;nyt://book/db330a2d-a426-5056-9b11-4e66e0c1406b;by James Patterson and Mike Lupica;;2023-02-01 23:11:20;After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.;;0.00;0316404292;9780316404297;Little, Brown;4;3;;THE HOUSE OF WOLVES;2023-02-01 23:15:42;3
2023-02-12;1;;https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20;;Barbara Kingsolver;https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg;329;500;;nyt://book/dd6e4f9d-d082-552d-b888-7276a25b5aca;by Barbara Kingsolver;;2023-02-01 23:11:20;A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.;;0.00;0063251922;9780063251922;Harper;5;9;;DEMON COPPERHEAD;2023-02-01 23:15:42;15
2023-02-12;1;;https://www.amazon.com/dp/0593201264?tag=NYTBSREV-20;;Grady Hendrix;https://storage.googleapis.com/du-prd/books/images/9780593201268.jpg;331;500;;nyt://book/7b07e4df-a46a-5b0a-80e7-b5f8d2324321;by Grady Hendrix;;2023-02-01 23:11:20;After her parents die, Louise encounters more than she expected in dealing with the family home.;;0.00;0593201264;9780593201268;Berkley;6;5;;HOW TO SELL A HAUNTED HOUSE;2023-02-01 23:15:42;2
2023-02-12;1;;https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20;;John Grisham;https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg;329;500;;nyt://book/b59f42c0-d9d0-5535-bf4b-21e5d04d3a46;by John Grisham;;2023-02-01 23:11:20;Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.;;0.00;0385548923;9780385548922;Doubleday;7;8;;THE BOYS FROM BILOXI;2023-02-01 23:15:42;15
2023-02-12;1;;https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20;;Stephen King;https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg;329;500;;nyt://book/1c203c2d-147d-5639-8e0c-009ba6f15698;by Stephen King;;2023-02-01 23:11:20;A high school kid inherits a shed that is a portal to another world where good and evil are at war.;;0.00;1668002175;9781668002179;Scribner;8;10;;FAIRY TALE;2023-02-01 23:15:42;21
2023-02-12;1;;https://www.amazon.com/dp/1250313104?tag=NYTBSREV-20;;Leigh Bardugo;https://storage.googleapis.com/du-prd/books/images/9781250313102.jpg;329;500;;nyt://book/d0f133b3-430c-5db9-a168-69f045f57e87;by Leigh Bardugo;;2023-02-01 23:11:20;The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.;;0.00;1250313104;9781250313102;Flatiron;9;7;;HELL BENT;2023-02-01 23:15:42;3
2023-02-12;1;;https://www.amazon.com/dp/1538736772?tag=NYTBSREV-20;;Douglas Preston and Lincoln Child;https://storage.googleapis.com/du-prd/books/images/9781538736777.jpg;330;500;;nyt://book/c891ebc2-6eb1-502e-8c80-bfc67491f739;by Douglas Preston and Lincoln Child;;2023-02-01 23:11:20;The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.;;0.00;1538736772;9781538736777;Grand Central;10;2;;THE CABINET OF DR. LENG;2023-02-01 23:15:42;2
2023-02-12;1;;https://www.amazon.com/dp/1984818384?tag=NYTBSREV-20;;Jodi Picoult and Jennifer Finney Boylan;https://storage.googleapis.com/du-prd/books/images/9781984818386.jpg;328;500;;nyt://book/8af7bc3e-8c1e-5bb1-820c-06169fac15b1;by Jodi Picoult and Jennifer Finney Boylan;;2023-02-01 23:11:20;After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.;;0.00;1984818384;9781984818386;Ballantine;11;11;;MAD HONEY;2023-02-01 23:15:42;17
2023-02-12;1;;https://www.amazon.com/dp/0063204150?tag=NYTBSREV-20;;Shel Van Pelt;https://storage.googleapis.com/du-prd/books/images/9780063204157.jpg;329;500;;nyt://book/206a5e83-12f4-5ea9-8e63-1da5470a6ef5;by Shelby Van Pelt;;2023-02-01 23:11:20;A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.;;0.00;0063204150;9780063204157;Ecco;12;0;;REMARKABLY BRIGHT CREATURES;2023-02-01 23:15:42;3
