book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/ca446f1d-44ee-57f9-9893-caf94da0d004;https://www.amazon.com/dp/1982155299?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982155292?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982155292;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FZERO%2BDAYS%2FRuth%2BWare%2F9781982155292;https://bookshop.org/a/3546/9781982155292;https://www.indiebound.org/book/9781982155292?aff=NYT
nyt://book/ca521852-ee6c-554c-bca6-4befb4ba1721;https://www.amazon.com/dp/0063021420?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063294189?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063294189;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBABEL%2FR.F.%2BKuang%2F9780063294189;https://bookshop.org/a/3546/9780063294189;https://www.indiebound.org/book/9780063294189?aff=NYT
nyt://book/cb8f3275-55f3-5e58-adef-a8119e1a91bc;https://www.amazon.com/dp/0593185838?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593185834?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593185834;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FWAXING%2BON%2FRalph%2BMacchio%2F9780593185834;https://bookshop.org/a/3546/9780593185834;https://www.indiebound.org/book/9780593185834?aff=NYT
nyt://book/cbef26aa-36cf-56ce-908d-41eee9077af1;https://www.amazon.com/dp/0374139946?tag=NYTBSREV-20;https://goto.applebooks.apple/9780374139940?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780374139940;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FDILLA%2BTIME%2FDan%2BCharnas%2F9780374139940;https://bookshop.org/a/3546/9780374139940;https://www.indiebound.org/book/9780374139940?aff=NYT
nyt://book/cbfb3c7c-90da-58c6-82ee-5a839dbda91b;https://www.amazon.com/dp/1668003538?tag=NYTBSREV-20;https://goto.applebooks.apple/9781668003534?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668003534;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FOPERATION%2BPINEAPPLE%2BEXPRESS%2FScott%2BMann%2F9781668003534;https://bookshop.org/a/3546/9781668003534;https://www.indiebound.org/book/9781668003534?aff=NYT
nyt://book/ce015d0f-ea8f-5d6e-bd85-068d68dcd8a3;https://www.amazon.com/dp/0063247445?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063247444?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063247444;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FNEVER%2BGIVE%2BAN%2BINCH%2FMike%2BPompeo%2F9780063247444;https://bookshop.org/a/3546/9780063247444;https://www.indiebound.org/book/9780063247444?aff=NYT
nyt://book/ce082838-bf4a-5a13-8b8b-f7e2f3589d0a;https://www.amazon.com/dp/0593133234?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593133231?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593133231;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FAN%2BIMMENSE%2BWORLD%2FEd%2BYong%2F9780593133231;https://bookshop.org/a/3546/9780593133231;https://www.indiebound.org/book/9780593133231?aff=NYT
nyt://book/ce6ec63e-e3a9-5db9-9bd6-b0ff0442917e;https://www.amazon.com/dp/1982168560?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982168568?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982168568;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FSURE%252C%2BI%2527LL%2BJOIN%2BYOUR%2BCULT%2FMaria%2BBamford%2F9781982168568;https://bookshop.org/a/3546/9781982168568;https://www.indiebound.org/book/9781982168568?aff=NYT
nyt://book/cfc31a44-033b-57d6-8fbf-f1b79aedf2ac;https://www.amazon.com/dp/0063304937?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063304932?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063304932;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FYOU%2BWILL%2BOWN%2BNOTHING%2FCarol%2BRoth%2F9780063304932;https://bookshop.org/a/3546/9780063304932;https://www.indiebound.org/book/9780063304932?aff=NYT
nyt://book/d0ac82aa-79c8-5a9e-ad62-047d23365d3d;https://www.amazon.com/dp/0063073307?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063073302?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063073302;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLIVE%2BWIRE%2FKelly%2BRipa%2F9780063073302;https://bookshop.org/a/3546/9780063073302;https://www.indiebound.org/book/9780063073302?aff=NYT
