book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/c01ba7e2-077b-5185-b7c5-6dbd651cb112;https://www.amazon.com/dp/1982180587?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982180584?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982180584;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BBASEBALL%2B100%2FJoe%2BPosnanski%2F9781982180584;https://bookshop.org/a/3546/9781982180584;https://www.indiebound.org/book/9781982180584?aff=NYT
nyt://book/c047832b-ea81-5f82-a49b-0b80a2ec3638;https://www.amazon.com/dp/1668007193?tag=NYTBSREV-20;https://goto.applebooks.apple/9781668007198?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668007198;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHOLD%2BTHE%2BLINE%2FMichael%2BFanone%2Band%2BJohn%2BShiffman%2F9781668007198;https://bookshop.org/a/3546/9781668007198;https://www.indiebound.org/book/9781668007198?aff=NYT
nyt://book/c0a293aa-3c16-5d09-a492-e12520a7044f;https://www.amazon.com/dp/0358508096?tag=NYTBSREV-20;https://goto.applebooks.apple/9780358508090?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780358508090;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FRISE%2FJeff%2BYang%252C%2BPhil%2BYu%2Band%2BPhilip%2BWang%2F9780358508090;https://bookshop.org/a/3546/9780358508090;https://www.indiebound.org/book/9780358508090?aff=NYT
nyt://book/c1b9d0df-7459-5d41-9a0e-f71289d1de05;https://www.amazon.com/dp/198482192X?tag=NYTBSREV-20;https://goto.applebooks.apple/9781984821928?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984821928;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHAPPINESS%2FDanielle%2BSteel%2F9781984821928;https://bookshop.org/a/3546/9781984821928;https://www.indiebound.org/book/9781984821928?aff=NYT
nyt://book/c206c00c-4ad9-5122-a3ef-b6960313e0d9;https://www.amazon.com/dp/1250817862?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250817860?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250817860;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FMY%2BBODY%2FEmily%2BRatajkowski%2F9781250817860;https://bookshop.org/a/3546/9781250817860;https://www.indiebound.org/book/9781250817860?aff=NYT
nyt://book/c27abf37-85c9-5c81-bd7e-98a9a445de56;https://www.amazon.com/dp/0316499447?tag=NYTBSREV-20;https://goto.applebooks.apple/9780316499446?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316499446;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FESCAPE%2FJames%2BPatterson%2Band%2BDavid%2BEllis%2F9780316499446;https://bookshop.org/a/3546/9780316499446;https://www.indiebound.org/book/9780316499446?aff=NYT
nyt://book/c319a644-4f43-5b03-ace8-00b8b5cd3066;https://www.amazon.com/dp/0063039540?tag=NYTBSREV-20;https://goto.applebooks.apple/9780063039544?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063039544;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTO%2BRESCUE%2BTHE%2BREPUBLIC%2FBret%2BBaier%2Bwith%2BCatherine%2BWhitney%2F9780063039544;https://bookshop.org/a/3546/9780063039544;https://www.indiebound.org/book/9780063039544?aff=NYT
nyt://book/c391b420-790e-50f2-8d85-01cce7a8add4;https://www.amazon.com/dp/0593137787?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593137789?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593137789;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHOW%2BCIVIL%2BWARS%2BSTART%2FBarbara%2BF.%2BWalter%2F9780593137789;https://bookshop.org/a/3546/9780593137789;https://www.indiebound.org/book/9780593137789?aff=NYT
nyt://book/c39dd21d-a589-5ad6-bff6-cca4b4145a6c;https://www.amazon.com/dp/125084603X?tag=NYTBSREV-20;https://goto.applebooks.apple/9781250846037?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250846037;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFINLAY%2BDONOVAN%2BJUMPS%2BTHE%2BGUN%2FElle%2BCosimano%2F9781250846037;https://bookshop.org/a/3546/9781250846037;https://www.indiebound.org/book/9781250846037?aff=NYT
nyt://book/c4337533-9195-5d2f-8dd8-02c874ff89cd;https://www.amazon.com/dp/1984821520?tag=NYTBSREV-20;https://goto.applebooks.apple/9781984821522?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984821522;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BBUTLER%2FDanielle%2BSteel%2F9781984821522;https://bookshop.org/a/3546/9781984821522;https://www.indiebound.org/book/9781984821522?aff=NYT
nyt://book/c4d8ba22-0a33-5418-a2f4-4bdfd2b0e301;https://www.amazon.com/dp/0399180516?tag=NYTBSREV-20;https://goto.applebooks.apple/9780399180514?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780399180514;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FCOMEDY%2BCOMEDY%2BCOMEDY%2BDRAMA%2FBob%2BOdenkirk%2F9780399180514;https://bookshop.org/a/3546/9780399180514;https://www.indiebound.org/book/9780399180514?aff=NYT
