book_uri;buy_links_amazon;buy_links_apple_books;buy_links_barnes_and_noble;buy_links_books_a_million;buy_links_bookshop;buy_links_indie_bound
nyt://book/990cda35-3880-550b-85b4-08a9f7dc3076;https://www.amazon.com/dp/0812995988?tag=NYTBSREV-20;https://goto.applebooks.apple/9780812995985?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780812995985;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FEVERY%2BGOOD%2BBOY%2BDOES%2BFINE%2FJeremy%2BDenk%2F9780812995985;https://bookshop.org/a/3546/9780812995985;https://www.indiebound.org/book/9780812995985?aff=NYT
nyt://book/993ef267-d9f0-58ab-9343-40297531a29b;https://www.amazon.com/dp/0593243390?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593243398?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593243398;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FVICTORY%2BCITY%2FSalman%2BRushdie%2F9780593243398;https://bookshop.org/a/3546/9780593243398;https://www.indiebound.org/book/9780593243398?aff=NYT
nyt://book/9948a457-43ec-586b-89e3-0e969acd4e18;https://www.amazon.com/dp/0525509593?tag=NYTBSREV-20;https://goto.applebooks.apple/9780525509592?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525509592;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLIBERATION%2BDAY%2FGeorge%2BSaunders%2F9780525509592;https://bookshop.org/a/3546/9780525509592;https://www.indiebound.org/book/9780525509592?aff=NYT
nyt://book/9a16a6ac-2ab7-5d19-8d41-ffc73922aa71;https://www.amazon.com/dp/198211276X?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982112769?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982112769;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BCOMEDIANS%2BIN%2BCARS%2BGETTING%2BCOFFEE%2BBOOK%2FJerry%2BSeinfeld%2F9781982112769;https://bookshop.org/a/3546/9781982112769;https://www.indiebound.org/book/9781982112769?aff=NYT
nyt://book/9a5b083a-c497-5ae7-85f6-487cec4d5d5a;https://www.amazon.com/dp/0525541993?tag=NYTBSREV-20;https://goto.applebooks.apple/9780525541998?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525541998;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BFAMILY%2FNaomi%2BKrupitsky%2F9780525541998;https://bookshop.org/a/3546/9780525541998;https://www.indiebound.org/book/9780525541998?aff=NYT
nyt://book/9a6934e0-ee32-572d-a4a1-fa2fdc0fc059;https://www.amazon.com/dp/0593443985?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593443989?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593443989;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FI%2BSWEAR%2FKatie%2BPorter%2F9780593443989;https://bookshop.org/a/3546/9780593443989;https://www.indiebound.org/book/9780593443989?aff=NYT
nyt://book/9ab3a59a-e572-5452-ae0c-eedeadb05831;https://www.amazon.com/dp/0593441273?tag=NYTBSREV-20;https://goto.applebooks.apple/9780593441275?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593441275;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHAPPY%2BPLACE%2FEmily%2BHenry%2F9780593441275;https://bookshop.org/a/3546/9780593441275;https://www.indiebound.org/book/9780593441275?aff=NYT
nyt://book/9b321428-2ecb-5584-a5d3-513e79cb9a63;https://www.amazon.com/dp/1324093064?tag=NYTBSREV-20;https://goto.applebooks.apple/9781324093060?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781324093060;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2F1964%2FPaul%2BMcCartney%2F9781324093060;https://bookshop.org/a/3546/9781324093060;https://www.indiebound.org/book/9781324093060?aff=NYT
nyt://book/9b564e0d-3355-509c-8774-5070a8d5d28f;https://www.amazon.com/dp/198215487X?tag=NYTBSREV-20;https://goto.applebooks.apple/9781982154875?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982154875;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FGAME%2BON%2FJanet%2BEvanovich%2F9781982154875;https://bookshop.org/a/3546/9781982154875;https://www.indiebound.org/book/9781982154875?aff=NYT
nyt://book/9d0675f1-3ce1-5676-a91a-7d834e78f7cb;https://www.amazon.com/dp/067002516X?tag=NYTBSREV-20;https://goto.applebooks.apple/9780670025169?at=10lIEQ;https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780670025169;https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FBLOOD%2BAND%2BRUINS%2FRichard%2BOvery%2F9780670025169;https://bookshop.org/a/3546/9780670025169;https://www.indiebound.org/book/9780670025169?aff=NYT
